Nome: PALMAS;
Codigo Estacao: A009;
Latitude: -10.14777777;
Longitude: -48.31444444;
Altitude: 267;
Situacao: Operante;
Data Inicial: 2020-01-01;
Data Final: 2023-12-31;
Periodicidade da Medicao: Diaria;
;
Data Medicao;TEMPERATURA MEDIA, DIARIA (AUT)(°C)
10/10/2020;28,8
11/10/2020;24,9
12/10/2020;24,4
13/10/2020;28,2
14/10/2020;30,4
15/10/2020;30,9
16/10/2020;31,6
17/10/2020;29,8
18/10/2020;30,8
19/10/2020;29,1
20/10/2020;30,6
21/10/2020;31,9
22/10/2020;31,1
23/10/2020;25,1
24/10/2020;24,5
25/10/2020;27,2
26/10/2020;28,7
27/10/2020;26,2
28/10/2020;26,7
29/10/2020;27,6
30/10/2020;27,6
31/10/2020;25,9
01/11/2020;25,9
02/11/2020;25,8
03/11/2020;25,7
04/11/2020;26,3
05/11/2020;27,7
06/11/2020;25,3
07/11/2020;24,5
08/11/2020;28,7
09/11/2020;30,9
10/11/2020;30
11/11/2020;30,3
12/11/2020;29,5
13/11/2020;27,8
14/11/2020;28,1
15/11/2020;30
16/11/2020;27,6
17/11/2020;27,4
18/11/2020;26,2
19/11/2020;26,5
20/11/2020;27,6
21/11/2020;27,8
22/11/2020;25,9
23/11/2020;26,7
24/11/2020;29,4
25/11/2020;30,8
26/11/2020;30,3
27/11/2020;28,8
28/11/2020;29,2
29/11/2020;30
30/11/2020;30,2
01/12/2020;29,2
02/12/2020;30
03/12/2020;30,6
04/12/2020;27,6
05/12/2020;27,1
06/12/2020;27,4
07/12/2020;27,4
08/12/2020;27,5
09/12/2020;24,6
10/12/2020;25,4
11/12/2020;26,8
12/12/2020;26,6
13/12/2020;28,6
14/12/2020;28,6
15/12/2020;28,1
16/12/2020;27,2
17/12/2020;28,4
18/12/2020;25,3
19/12/2020;26,6
20/12/2020;26,9
21/12/2020;26
22/12/2020;27,1
23/12/2020;27,1
24/12/2020;26,2
25/12/2020;26,3
26/12/2020;25,8
27/12/2020;24,9
28/12/2020;27,9
29/12/2020;29,1
30/12/2020;29,4
31/12/2020;27
01/01/2021;null
02/01/2021;null
03/01/2021;null
04/01/2021;null
05/01/2021;27,3
06/01/2021;29,4
07/01/2021;29
08/01/2021;26,9
09/01/2021;24,6
10/01/2021;25,5
11/01/2021;25,9
12/01/2021;26,7
13/01/2021;25,8
14/01/2021;25,4
15/01/2021;25,7
16/01/2021;25,1
17/01/2021;25,5
18/01/2021;25,4
19/01/2021;26,1
20/01/2021;25,6
21/01/2021;25,6
22/01/2021;25,6
23/01/2021;27,2
24/01/2021;28,7
25/01/2021;28,8
26/01/2021;26,7
27/01/2021;25,7
28/01/2021;25,5
29/01/2021;26,1
30/01/2021;26
31/01/2021;25,3
01/02/2021;26,4
02/02/2021;27,5
03/02/2021;24,8
04/02/2021;25,9
05/02/2021;27,4
06/02/2021;25,4
07/02/2021;24,4
08/02/2021;26,1
09/02/2021;25,4
10/02/2021;24,3
11/02/2021;26,9
12/02/2021;25,9
13/02/2021;24,9
14/02/2021;24,8
15/02/2021;25
16/02/2021;25,7
17/02/2021;24,5
18/02/2021;24,2
19/02/2021;24,3
20/02/2021;24,1
21/02/2021;24
22/02/2021;25,1
23/02/2021;25,6
24/02/2021;25,8
25/02/2021;26,9
26/02/2021;24,7
27/02/2021;25,4
28/02/2021;25
01/03/2021;24,4
02/03/2021;24,1
03/03/2021;24,8
04/03/2021;25,7
05/03/2021;27,6
06/03/2021;24,6
07/03/2021;26,3
08/03/2021;26,6
09/03/2021;25,6
10/03/2021;25,9
11/03/2021;25,6
12/03/2021;26,6
13/03/2021;27
14/03/2021;25,7
15/03/2021;26,6
16/03/2021;26,4
17/03/2021;26
18/03/2021;24,4
19/03/2021;24,5
20/03/2021;24,2
21/03/2021;26,1
22/03/2021;26,5
23/03/2021;27,3
24/03/2021;28,3
25/03/2021;27,2
26/03/2021;25,8
27/03/2021;26,8
28/03/2021;26,4
29/03/2021;26
30/03/2021;27,6
31/03/2021;26
01/04/2021;24,2
02/04/2021;24,4
03/04/2021;25,7
04/04/2021;27,7
05/04/2021;28,6
06/04/2021;28,4
07/04/2021;28,1
08/04/2021;28
09/04/2021;28,3
10/04/2021;27,1
11/04/2021;28,5
12/04/2021;27,5
13/04/2021;28,7
14/04/2021;25,8
15/04/2021;26,5
16/04/2021;27,3
17/04/2021;25,6
18/04/2021;25,1
19/04/2021;25,3
20/04/2021;25,7
21/04/2021;25,7
22/04/2021;25,4
23/04/2021;27
24/04/2021;26
25/04/2021;23,6
26/04/2021;25,7
27/04/2021;25,6
28/04/2021;27
29/04/2021;25,6
30/04/2021;26
01/05/2021;27
02/05/2021;27,2
03/05/2021;27,6
04/05/2021;27,1
05/05/2021;27,1
06/05/2021;26,5
07/05/2021;26,5
08/05/2021;26,7
09/05/2021;27,8
10/05/2021;28,3
11/05/2021;27,2
12/05/2021;27,1
13/05/2021;26,9
14/05/2021;27,1
15/05/2021;25,8
16/05/2021;26,7
17/05/2021;27,3
18/05/2021;26,2
19/05/2021;26,8
20/05/2021;27,7
21/05/2021;28,1
22/05/2021;28,1
23/05/2021;27,7
24/05/2021;27,8
25/05/2021;28,4
26/05/2021;27,4
27/05/2021;27
28/05/2021;27,1
29/05/2021;26,8
30/05/2021;27
31/05/2021;26,7
01/06/2021;26,8
02/06/2021;27,4
03/06/2021;27,5
04/06/2021;27,8
05/06/2021;28,1
06/06/2021;29
07/06/2021;27,1
08/06/2021;27,5
09/06/2021;27,8
10/06/2021;26,7
11/06/2021;27,2
12/06/2021;27,2
13/06/2021;27,5
14/06/2021;28
15/06/2021;27,6
16/06/2021;26,8
17/06/2021;27,7
18/06/2021;28
19/06/2021;28,1
20/06/2021;27,5
21/06/2021;27,2
22/06/2021;26,6
23/06/2021;27,2
24/06/2021;27
25/06/2021;27,3
26/06/2021;27,5
27/06/2021;25,9
28/06/2021;25,4
29/06/2021;25,1
30/06/2021;24,9
01/07/2021;25,6
02/07/2021;26,8
03/07/2021;27,3
04/07/2021;26,1
05/07/2021;26,2
06/07/2021;26,4
07/07/2021;26,5
08/07/2021;26,6
09/07/2021;26,3
10/07/2021;27,3
11/07/2021;26,8
12/07/2021;26,6
13/07/2021;27,7
14/07/2021;27,8
15/07/2021;26,7
16/07/2021;27,6
17/07/2021;27,9
18/07/2021;27,9
19/07/2021;27,8
20/07/2021;27,8
21/07/2021;27,9
22/07/2021;28,2
23/07/2021;28,2
24/07/2021;27,1
25/07/2021;27,3
26/07/2021;28
27/07/2021;26,3
28/07/2021;27,2
29/07/2021;27,6
30/07/2021;27,8
31/07/2021;28,9
01/08/2021;29,1
02/08/2021;28,7
03/08/2021;27,7
04/08/2021;27,5
05/08/2021;28,6
06/08/2021;29,2
07/08/2021;27,8
08/08/2021;28,3
09/08/2021;27,5
10/08/2021;27,8
11/08/2021;28,7
12/08/2021;28,9
13/08/2021;29,2
14/08/2021;29,3
15/08/2021;29,7
16/08/2021;28,9
17/08/2021;30,2
18/08/2021;31,2
19/08/2021;29,3
20/08/2021;29,5
21/08/2021;28,7
22/08/2021;30,5
23/08/2021;29,8
24/08/2021;29,6
25/08/2021;29,9
26/08/2021;30,3
27/08/2021;30,9
28/08/2021;32,3
29/08/2021;31,1
30/08/2021;31,4
31/08/2021;28,2
01/09/2021;29,7
02/09/2021;29,2
03/09/2021;29,7
04/09/2021;30,8
05/09/2021;31,3
06/09/2021;30,9
07/09/2021;29,7
08/09/2021;30,7
09/09/2021;30,4
10/09/2021;30,5
11/09/2021;31,2
12/09/2021;31,2
13/09/2021;30,7
14/09/2021;31,2
15/09/2021;31,4
16/09/2021;30,6
17/09/2021;31,1
18/09/2021;31
19/09/2021;31,1
20/09/2021;31,3
21/09/2021;31
22/09/2021;32,5
23/09/2021;31
24/09/2021;28
25/09/2021;25
26/09/2021;25,6
27/09/2021;26,7
28/09/2021;29,1
29/09/2021;29,2
30/09/2021;28,5
01/10/2021;25,3
02/10/2021;25,9
03/10/2021;27,7
04/10/2021;29
05/10/2021;28,9
06/10/2021;30
07/10/2021;30,1
08/10/2021;30,2
09/10/2021;27,6
10/10/2021;28,7
11/10/2021;26,2
12/10/2021;28,3
13/10/2021;27,3
14/10/2021;25,2
15/10/2021;27,3
16/10/2021;27,8
17/10/2021;27,2
18/10/2021;25,9
19/10/2021;26,6
20/10/2021;28,7
21/10/2021;28,1
22/10/2021;27,3
23/10/2021;25,6
24/10/2021;27
25/10/2021;28
26/10/2021;28,3
27/10/2021;29,9
28/10/2021;30,1
29/10/2021;30,1
30/10/2021;25,8
31/10/2021;25,9
01/11/2021;24,8
02/11/2021;25,8
03/11/2021;26,4
04/11/2021;24
05/11/2021;25,2
06/11/2021;26,2
07/11/2021;25,3
08/11/2021;26,8
09/11/2021;25,4
10/11/2021;25,5
11/11/2021;26,1
12/11/2021;24,7
13/11/2021;26,6
14/11/2021;25,4
15/11/2021;25,6
16/11/2021;25,5
17/11/2021;26,5
18/11/2021;27
19/11/2021;27,3
20/11/2021;26,4
21/11/2021;26,5
22/11/2021;27,8
23/11/2021;25,3
24/11/2021;27,3
25/11/2021;25,1
26/11/2021;25,4
27/11/2021;27,6
28/11/2021;27,9
29/11/2021;26,1
30/11/2021;26,6
01/12/2021;25,8
02/12/2021;27
03/12/2021;26,8
04/12/2021;25,5
05/12/2021;25,6
06/12/2021;25,2
07/12/2021;25,3
08/12/2021;24,9
09/12/2021;26
10/12/2021;26,6
11/12/2021;26,4
12/12/2021;26,3
13/12/2021;26,3
14/12/2021;27,8
15/12/2021;26,7
16/12/2021;25,1
17/12/2021;25,6
18/12/2021;25,9
19/12/2021;25,8
20/12/2021;26,6
21/12/2021;27,2
22/12/2021;26,4
23/12/2021;23,1
24/12/2021;23,4
