Nome: PALMAS;
Codigo Estacao: A009;
Latitude: -10.14777777;
Longitude: -48.31444444;
Altitude: 267;
Situacao: Operante;
Data Inicial: 2020-01-01;
Data Final: 2023-12-31;
Periodicidade da Medicao: Diaria;
;
Data Medicao;TEMPERATURA MEDIA, DIARIA (AUT)(°C)
09/07/2023;27,2
10/07/2023;27,5
11/07/2023;28
12/07/2023;27,8
13/07/2023;27,7
14/07/2023;27
15/07/2023;27
16/07/2023;28,2
17/07/2023;28
18/07/2023;29,1
19/07/2023;28,3
20/07/2023;27,2
21/07/2023;26,8
22/07/2023;26,8
23/07/2023;28,3
24/07/2023;28,2
25/07/2023;27,7
26/07/2023;26,4
27/07/2023;27
28/07/2023;28,6
29/07/2023;28,3
30/07/2023;28,3
31/07/2023;28,7
01/08/2023;30,2
02/08/2023;28,5
03/08/2023;28,8
04/08/2023;28,2
05/08/2023;28,2
06/08/2023;28,9
07/08/2023;30
08/08/2023;28,6
09/08/2023;29,2
10/08/2023;30,4
11/08/2023;28,9
12/08/2023;29,1
13/08/2023;29
14/08/2023;28,9
15/08/2023;29,5
16/08/2023;28,3
17/08/2023;27,7
18/08/2023;28,2
19/08/2023;28,7
20/08/2023;29,7
21/08/2023;30,2
22/08/2023;30,5
23/08/2023;27,7
24/08/2023;28,1
25/08/2023;27,2
26/08/2023;27,8
27/08/2023;26,8
28/08/2023;27,6
29/08/2023;26,5
30/08/2023;27,1
31/08/2023;28,2
01/09/2023;27,5
02/09/2023;26,9
03/09/2023;28,4
04/09/2023;29,2
05/09/2023;29,7
06/09/2023;31,1
07/09/2023;30,9
08/09/2023;30
09/09/2023;30,6
10/09/2023;30,1
11/09/2023;30,4
12/09/2023;31,1
13/09/2023;31,2
14/09/2023;29,8
15/09/2023;29,8
16/09/2023;30,9
17/09/2023;30,4
18/09/2023;30,2
19/09/2023;30,5
20/09/2023;31,9
21/09/2023;32,2
22/09/2023;32,1
23/09/2023;31,3
24/09/2023;31,2
25/09/2023;31
26/09/2023;31,1
27/09/2023;29,7
28/09/2023;27,2
29/09/2023;27,3
30/09/2023;30,2
01/10/2023;31
02/10/2023;null
03/10/2023;28,7
04/10/2023;28,7
05/10/2023;28,6
06/10/2023;27,5
07/10/2023;26,1
08/10/2023;26,9
09/10/2023;29,6
10/10/2023;28,5
11/10/2023;27,9
12/10/2023;null
13/10/2023;29,7
14/10/2023;29,2
15/10/2023;27
16/10/2023;null
17/10/2023;null
18/10/2023;30,2
19/10/2023;29,9
20/10/2023;31
21/10/2023;31,4
22/10/2023;31,9
23/10/2023;28,1
24/10/2023;27,4
25/10/2023;null
26/10/2023;29,6
27/10/2023;28,3
28/10/2023;29,2
29/10/2023;29,2
30/10/2023;30,2
31/10/2023;null
01/11/2023;30
02/11/2023;25,7
03/11/2023;27,3
04/11/2023;null
05/11/2023;27,5
06/11/2023;25,9
07/11/2023;27,7
08/11/2023;27,7
09/11/2023;27,8
10/11/2023;29,4
11/11/2023;null
12/11/2023;30,4
13/11/2023;31
14/11/2023;31,4
15/11/2023;31,4
16/11/2023;28,7
17/11/2023;25,5
18/11/2023;26,5
19/11/2023;null
20/11/2023;26,3
21/11/2023;null
22/11/2023;26,5
23/11/2023;null
24/11/2023;28,1
25/11/2023;29
26/11/2023;28,6
27/11/2023;28,2
28/11/2023;null
29/11/2023;29
30/11/2023;27,7
01/12/2023;null
02/12/2023;27,6
03/12/2023;25,9
04/12/2023;24,9
05/12/2023;26,5
06/12/2023;29,7
07/12/2023;null
08/12/2023;29,2
09/12/2023;30,1
10/12/2023;null
11/12/2023;26,9
12/12/2023;null
13/12/2023;28,4
14/12/2023;28,2
15/12/2023;29,5
16/12/2023;null
17/12/2023;29,5
18/12/2023;26,8
19/12/2023;26,4
20/12/2023;26,7
21/12/2023;28,1
22/12/2023;null
23/12/2023;28,9
24/12/2023;29,8
25/12/2023;null
26/12/2023;29,6
27/12/2023;null
28/12/2023;null
29/12/2023;null
30/12/2023;27
31/12/2023;26,8
